"# expe3000 version: v0.4 (Go version)"
"# Author: Christophe Pallier (christophe@pallier.org)"
"# GitHub: https://github.com/chrplr/expe3000"
"# SDL Version: 3.4.0"
"# Platform: linux"
"# Hostname: is154920"
"# Username: cp983411"
"# Video Driver: x11"
"# Audio Driver: pulseaudio"
"# Renderer: opengl"
"# Display Mode: 3840x2160 @ 59.98Hz (Physical)"
"# Logical Resolution: 1920x1080"
"# Font: /usr/share/fonts/truetype/liberation/LiberationSans-Regular.ttf"
"# Font Size: 50"
"# Start Date: 2026-03-03 12:12:23.282"
"# End Date: 2026-03-03 12:12:57.148"
"# Completion Status: Aborted (ESC or Quit)"
"# Command Line: ../../expe3000 -csv run1.tsv"
"subject_id"	"intended_ms"	"actual_ms"	"type"	"label"	"onset_time"	"duration"	"type"	"cond"	"stimuli"
""	0	1	"TEXT_STREAM_ONSET"	"calculez~seize~moins~huit"	0	400	"TEXT_STREAM"	"calculvideo"	"calculez~seize~moins~huit"
""	1600	1609	"TEXT_STREAM_OFFSET"	"calculez~seize~moins~huit"	0	400	"TEXT_STREAM"	"calculvideo"	"calculez~seize~moins~huit"
""	2400	2423	"TEXT_STREAM_ONSET"	"calculez~dix~moins~deux"	2400	400	"TEXT_STREAM"	"calculvideo"	"calculez~dix~moins~deux"
""	4000	4028	"TEXT_STREAM_OFFSET"	"calculez~dix~moins~deux"	2400	400	"TEXT_STREAM"	"calculvideo"	"calculez~dix~moins~deux"
""	8700	8732	"IMAGE_STREAM_ONSET"	"checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp"	8700	400	"IMAGE_STREAM"	"CheckboardH"	"checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp"
""	11100	11134	"IMAGE_STREAM_OFFSET"	"checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp"	8700	400	"IMAGE_STREAM"	"CheckboardH"	"checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp~checkerboard_hpb.bmp~checkerboard_hnb.bmp"
""	11400	11394	"SOUND_ONSET"	"clic3D.wav"	11400	400	"SOUND"	"clicDaudio"	"clic3D.wav"
""	15000	14995	"SOUND_ONSET"	"ph1.wav"	15000	400	"SOUND"	"phraseAudio"	"ph1.wav"
""	18000	18013	"TEXT_STREAM_ONSET"	"appuyez~trois fois~sur le bouton~droit"	18000	400	"TEXT_STREAM"	"clicDvideo"	"appuyez~trois fois~sur le bouton~droit"
""	19600	19615	"TEXT_STREAM_OFFSET"	"appuyez~trois fois~sur le bouton~droit"	18000	400	"TEXT_STREAM"	"clicDvideo"	"appuyez~trois fois~sur le bouton~droit"
""	20700	20695	"SOUND_ONSET"	"ph2.wav"	20700	400	"SOUND"	"phraseAudio"	"ph2.wav"
""	23700	23698	"SOUND_ONSET"	"clic3G.wav"	23700	400	"SOUND"	"clicGaudio"	"clic3G.wav"
""	26700	26715	"TEXT_STREAM_ONSET"	"appuyez~trois fois~sur le bouton~gauche"	26700	400	"TEXT_STREAM"	"clicGvideo"	"appuyez~trois fois~sur le bouton~gauche"
""	28300	28315	"TEXT_STREAM_OFFSET"	"appuyez~trois fois~sur le bouton~gauche"	26700	400	"TEXT_STREAM"	"clicGvideo"	"appuyez~trois fois~sur le bouton~gauche"
""	29700	29698	"SOUND_ONSET"	"ph3.wav"	29700	400	"SOUND"	"phraseAudio"	"ph3.wav"
""	33000	33015	"IMAGE_STREAM_ONSET"	"checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp"	33000	400	"IMAGE_STREAM"	"CheckBoardV"	"checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp~checkerboard_vpb.bmp~checkerboard_vnb.bmp"
