onset_time	duration	type	cond	stimuli
0	400	TEXT_STREAM	calculvideo	calcule~diecisiete~menos~nueve
2400	400	TEXT_STREAM	calculvideo	calcule~catorce~menos~siete
8700	400	IMAGE_STREAM	CheckBoardH	checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp
11400	400	SOUND	clicDaudio	clic3D.wav
15000	400	SOUND	phraseAudio	ph11.wav
18000	400	TEXT_STREAM	clicDvideo	pulse~tres veces~en el botón~derecho
20700	400	SOUND	phraseAudio	ph12.wav
23700	400	SOUND	clicGaudio	clic3G.wav
26700	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
29700	400	SOUND	phraseAudio	ph13.wav
33000	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
35400	400	SOUND	calculaudio	calc15.wav
39000	400	TEXT_STREAM	phraseVideo	El pueblo~está situado~al lado~del lago
41700	400	TEXT_STREAM	phraseVideo	Los libros~de cocina~son muy~útiles
44700	400	SOUND	calculaudio	calc11.wav
48000	400	SOUND	calculaudio	calc14.wav
56400	400	TEXT_STREAM	phraseVideo	La luna~brilla~sobre~el mar
59700	400	IMAGE_STREAM	CheckBoardH	checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp~checherboardHpb.bmp~checherboardHnb.bmp
62400	400	SOUND	clicGaudio	clic3G.wav
69000	400	TEXT_STREAM	clicDvideo	pulse~tres veces~en el botón~derecho
71400	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
75000	400	TEXT_STREAM	phraseVideo	Ha dado~un regalo~a sus~hijos
83400	400	SOUND	calculaudio	calc16.wav
87000	400	SOUND	clicDaudio	clic3D.wav
89700	400	SOUND	phraseAudio	ph14.wav
96000	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
108000	400	SOUND	calculaudio	calc20.wav
116700	400	TEXT_STREAM	clicGvideo	pulse~tres veces~en el botón~izquierdo
119400	400	SOUND	phraseAudio	ph15.wav
122700	400	IMAGE_STREAM	CheckBoardV	checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp~checherboardVpb.bmp~checherboardVnb.bmp
125400	400	TEXT_STREAM	calculvideo	calcule~diez~menos~nueve
131400	400	TEXT_STREAM	phraseVideo	En lo alto~de la ciudad~se levanta~una torre
135000	400	SOUND	calculaudio	calc12.wav
137700	400	SOUND	calculaudio	calc18.wav
